Invoice_ID,Customer_Type,Gender,store_id,store_location,Product_Line,Unit_Price,Quantity,Cost_of_Goods_Sold_without_tax,Tax 5%,Total_Cost,Gross_Profit,Payment_Mode,order_date,order_Month,order_Day,order_Time,order_Day_Time,Rating,Rating_Type
750-67-8428,Member,Female,A,Yangon,Health and beauty,74.7,7,522.8,26.14,548.97,26,Ewallet,1/5/2019,January,Saturday,1:08:00 PM,Afternoon,9.1,Very Good
226-31-3081,Normal,Female,C,Naypyitaw,Electronic accessories,15.3,5,76.4,3.82,80.22,4,Cash,3/8/2019,March,Friday,10:29:00 AM,Morning,9.6,Very Good
631-41-3108,Normal,Male,A,Yangon,Home and lifestyle,46.3,7,324.3,16.22,340.53,16,Credit card,3/3/2019,March,Sunday,1:23:00 PM,Afternoon,7.4,Good
123-19-1176,Member,Male,A,Yangon,Health and beauty,58.2,8,465.8,23.29,489.05,23,Ewallet,1/27/2019,January,Sunday,8:33:00 PM,Night,8.4,Very Good
373-73-7910,Normal,Male,A,Yangon,Sports and travel,86.3,7,604.2,30.21,634.38,30,Ewallet,2/8/2019,February,Friday,10:37:00 AM,Morning,5.3,Average
699-14-3026,Normal,Male,C,Naypyitaw,Electronic accessories,85.4,7,597.7,29.89,627.62,30,Ewallet,3/25/2019,March,Monday,6:30:00 PM,Evening,4.1,Average
355-53-5943,Member,Female,A,Yangon,Electronic accessories,68.8,6,413,20.65,433.69,21,Ewallet,2/25/2019,February,Monday,2:36:00 PM,Afternoon,5.8,Average
315-22-5665,Normal,Female,C,Naypyitaw,Home and lifestyle,73.6,10,735.6,36.78,772.38,37,Ewallet,2/24/2019,February,Sunday,11:38:00 AM,Morning,8,Very Good
665-32-9167,Member,Female,A,Yangon,Health and beauty,36.3,2,72.5,3.63,76.15,4,Credit card,1/10/2019,January,Thursday,5:15:00 PM,Evening,7.2,Good
692-92-5582,Member,Female,B,Mandalay,Food and beverages,54.8,3,164.5,8.23,172.75,8,Credit card,2/20/2019,February,Wednesday,1:27:00 PM,Afternoon,5.9,Average
351-62-0822,Member,Female,B,Mandalay,Fashion accessories,14.5,4,57.9,2.9,60.82,3,Ewallet,2/6/2019,February,Wednesday,6:07:00 PM,Evening,4.5,Average
529-56-3974,Member,Male,B,Mandalay,Electronic accessories,25.5,4,102,5.1,107.14,5,Cash,3/9/2019,March,Saturday,5:03:00 PM,Evening,6.8,Good
365-64-0515,Normal,Female,A,Yangon,Electronic accessories,47,5,234.8,11.74,246.49,12,Ewallet,2/12/2019,February,Tuesday,10:25:00 AM,Morning,7.1,Good
252-56-2699,Normal,Male,A,Yangon,Food and beverages,43.2,10,431.9,21.6,453.5,22,Ewallet,2/7/2019,February,Thursday,4:48:00 PM,Evening,8.2,Very Good
829-34-3910,Normal,Female,A,Yangon,Health and beauty,71.4,10,713.8,35.69,749.49,36,Cash,3/29/2019,March,Friday,7:21:00 PM,Evening,5.7,Average
299-46-1805,Member,Female,B,Mandalay,Sports and travel,93.7,6,562.3,28.12,590.44,28,Cash,1/15/2019,January,Tuesday,4:19:00 PM,Evening,4.5,Average
656-95-9349,Member,Female,A,Yangon,Health and beauty,68.9,7,482.5,24.13,506.64,24,Credit card,3/11/2019,March,Monday,11:03:00 AM,Morning,4.6,Average
765-26-6951,Normal,Male,A,Yangon,Sports and travel,72.6,6,435.7,21.78,457.44,22,Credit card,1/1/2019,January,Tuesday,10:39:00 AM,Morning,6.9,Good
329-62-1586,Normal,Male,A,Yangon,Food and beverages,54.7,3,164,8.2,172.21,8,Credit card,1/21/2019,January,Monday,6:00:00 PM,Evening,8.6,Very Good
319-50-3348,Normal,Female,B,Mandalay,Home and lifestyle,40.3,2,80.6,4.03,84.63,4,Ewallet,3/11/2019,March,Monday,3:30:00 PM,Afternoon,4.4,Average
300-71-4605,Member,Male,C,Naypyitaw,Electronic accessories,86,5,430.2,21.51,451.71,22,Ewallet,2/25/2019,February,Monday,11:24:00 AM,Morning,4.8,Average
371-85-5789,Normal,Male,B,Mandalay,Health and beauty,88,3,263.9,13.2,277.14,13,Ewallet,3/5/2019,March,Tuesday,10:40:00 AM,Morning,5.1,Average
273-16-6619,Normal,Male,B,Mandalay,Home and lifestyle,33.2,2,66.4,3.32,69.72,3,Credit card,3/15/2019,March,Friday,12:20:00 PM,Afternoon,4.4,Average
636-48-8204,Normal,Male,A,Yangon,Electronic accessories,34.6,5,172.8,8.64,181.44,9,Ewallet,2/17/2019,February,Sunday,11:15:00 AM,Morning,9.9,Very Good
549-59-1358,Member,Male,A,Yangon,Sports and travel,88.6,3,265.9,13.29,279.18,13,Ewallet,3/2/2019,March,Saturday,5:36:00 PM,Evening,6,Good
227-03-5010,Member,Female,A,Yangon,Home and lifestyle,52.6,8,420.7,21.04,441.76,21,Credit card,3/22/2019,March,Friday,7:20:00 PM,Evening,8.5,Very Good
649-29-6775,Normal,Male,B,Mandalay,Fashion accessories,33.5,1,33.5,1.68,35.2,2,Cash,2/8/2019,February,Friday,3:31:00 PM,Afternoon,6.7,Good
189-17-4241,Normal,Female,A,Yangon,Fashion accessories,87.7,2,175.3,8.77,184.11,9,Credit card,3/10/2019,March,Sunday,12:17:00 PM,Afternoon,7.7,Good
145-94-9061,Normal,Female,B,Mandalay,Food and beverages,88.4,5,441.8,22.09,463.89,22,Cash,1/25/2019,January,Friday,7:48:00 PM,Evening,9.6,Very Good
848-62-7243,Normal,Male,A,Yangon,Health and beauty,24.9,9,224,11.2,235.21,11,Cash,3/15/2019,March,Friday,3:36:00 PM,Afternoon,7.4,Good
871-79-8483,Normal,Male,B,Mandalay,Fashion accessories,94.1,5,470.6,23.53,494.18,24,Credit card,2/25/2019,February,Monday,7:39:00 PM,Evening,4.8,Average
149-71-6266,Member,Male,B,Mandalay,Sports and travel,78.1,9,702.6,35.13,737.76,35,Cash,1/28/2019,January,Monday,12:43:00 PM,Afternoon,4.5,Average
640-49-2076,Normal,Male,B,Mandalay,Sports and travel,83.8,8,670.2,33.51,703.75,34,Cash,1/10/2019,January,Thursday,2:49:00 PM,Afternoon,5.1,Average
595-11-5460,Normal,Male,A,Yangon,Health and beauty,96.6,2,193.2,9.66,202.82,10,Credit card,3/15/2019,March,Friday,10:12:00 AM,Morning,5.1,Average
183-56-6882,Member,Female,C,Naypyitaw,Food and beverages,99.4,4,397.7,19.88,417.56,20,Ewallet,2/6/2019,February,Wednesday,10:42:00 AM,Morning,7.5,Good
232-16-2483,Member,Female,C,Naypyitaw,Sports and travel,68.1,1,68.1,3.41,71.53,3,Ewallet,1/7/2019,January,Monday,12:28:00 PM,Afternoon,6.8,Good
129-29-8530,Member,Male,A,Yangon,Sports and travel,62.6,5,313.1,15.66,328.76,16,Ewallet,3/10/2019,March,Sunday,7:15:00 PM,Evening,7,Good
272-65-1806,Normal,Female,A,Yangon,Electronic accessories,60.9,9,547.9,27.4,575.32,27,Ewallet,1/15/2019,January,Tuesday,5:17:00 PM,Evening,4.7,Average
333-73-7901,Normal,Female,C,Naypyitaw,Health and beauty,54.9,8,439.4,21.97,461.33,22,Ewallet,3/23/2019,March,Saturday,1:24:00 PM,Afternoon,7.6,Good
777-82-7220,Member,Male,B,Mandalay,Home and lifestyle,30.1,8,241,12.05,253.01,12,Cash,3/3/2019,March,Sunday,1:01:00 PM,Afternoon,7.7,Good
280-35-5823,Member,Female,B,Mandalay,Home and lifestyle,86.7,1,86.7,4.34,91.06,4,Ewallet,1/17/2019,January,Thursday,6:45:00 PM,Evening,7.9,Good
554-53-8700,Member,Male,C,Naypyitaw,Home and lifestyle,56.1,2,112.2,5.61,117.83,6,Cash,2/2/2019,February,Saturday,10:11:00 AM,Morning,6.3,Good
354-25-5821,Member,Female,B,Mandalay,Sports and travel,69.1,6,414.7,20.74,435.46,21,Cash,2/8/2019,February,Friday,1:03:00 PM,Afternoon,5.6,Average
228-96-1411,Member,Female,C,Naypyitaw,Food and beverages,98.7,8,789.6,39.48,829.08,39,Cash,3/4/2019,March,Monday,8:39:00 PM,Night,7.6,Good
617-15-4209,Member,Male,C,Naypyitaw,Health and beauty,15.4,2,30.7,1.54,32.28,2,Cash,3/16/2019,March,Saturday,7:47:00 PM,Evening,7.2,Good
132-32-9879,Member,Female,B,Mandalay,Electronic accessories,94,4,375.8,18.79,394.63,19,Cash,3/9/2019,March,Saturday,6:00:00 PM,Evening,9.5,Very Good
370-41-7321,Member,Male,B,Mandalay,Health and beauty,56.7,9,510.2,25.51,535.72,26,Credit card,2/27/2019,February,Wednesday,5:24:00 PM,Evening,8.4,Very Good
727-46-3608,Member,Female,B,Mandalay,Food and beverages,20,9,180.1,9,189.09,9,Ewallet,2/6/2019,February,Wednesday,3:47:00 PM,Afternoon,4.1,Average
669-54-1719,Member,Male,B,Mandalay,Electronic accessories,18.9,6,113.6,5.68,119.26,6,Credit card,2/10/2019,February,Sunday,12:45:00 PM,Afternoon,8.1,Very Good
574-22-5561,Member,Female,C,Naypyitaw,Fashion accessories,82.6,10,826.3,41.32,867.62,41,Ewallet,3/19/2019,March,Tuesday,5:08:00 PM,Evening,7.9,Good
326-78-5178,Member,Male,C,Naypyitaw,Food and beverages,91.4,7,639.8,31.99,671.79,32,Cash,2/3/2019,February,Sunday,10:19:00 AM,Morning,9.5,Very Good
162-48-8011,Member,Female,A,Yangon,Food and beverages,44.6,5,223,11.15,234.1,11,Cash,2/10/2019,February,Sunday,3:10:00 PM,Afternoon,8.5,Very Good
616-24-2851,Member,Female,B,Mandalay,Fashion accessories,17.9,4,71.5,3.57,75.05,4,Ewallet,3/22/2019,March,Friday,2:42:00 PM,Afternoon,6.5,Good
778-71-5554,Member,Male,C,Naypyitaw,Fashion accessories,15.4,1,15.4,0.77,16.2,1,Credit card,1/25/2019,January,Friday,3:46:00 PM,Afternoon,6.1,Good
242-55-6721,Normal,Male,B,Mandalay,Home and lifestyle,16.2,2,32.3,1.62,33.94,2,Ewallet,3/7/2019,March,Thursday,11:49:00 AM,Morning,6.5,Good
399-46-5918,Normal,Female,C,Naypyitaw,Electronic accessories,86,8,687.8,34.39,722.23,34,Cash,2/28/2019,February,Thursday,7:01:00 PM,Evening,8.2,Very Good
106-35-6779,Member,Male,A,Yangon,Home and lifestyle,44.3,2,88.7,4.43,93.11,4,Cash,3/27/2019,March,Wednesday,11:26:00 AM,Morning,5.8,Average
635-40-6220,Normal,Male,A,Yangon,Health and beauty,89.6,8,716.8,35.84,752.64,36,Ewallet,2/7/2019,February,Thursday,11:28:00 AM,Morning,6.6,Good
817-48-8732,Member,Female,A,Yangon,Home and lifestyle,72.4,10,723.5,36.17,759.68,36,Cash,1/20/2019,January,Sunday,3:55:00 PM,Afternoon,5.4,Average
